Experiment	Treatment	Bottle	Time(hours)	Enzyme	Measurement	stdev
A	C	C1	0	BGLU	0	0
A	C	C2	0	BGLU	0	0
A	C	C3	0	BGLU	0,777058419	0,274731639
A	J	J1	0	BGLU	0,119436757	0,023645135
A	J	J2	0	BGLU	0,133107229	0,048975253
A	J	J3	0	BGLU	0,174118646	0,032337437
A	C	C1	9	BGLU	0	0
A	C	C2	9	BGLU	0	0
A	C	C3	9	BGLU	0	0
A	J	J1	9	BGLU	0,272652077	0,045085599
A	J	J2	9	BGLU	0,255611322	0,036812238
A	J	J3	9	BGLU	0,357855851	0,041741154
A	C	C1	24	BGLU	0,956028259	0,09736817
A	C	C2	24	BGLU	1,580046704	0,159378486
A	C	C3	24	BGLU	1,804053326	0,159001555
A	J	J1	24	BGLU	0,080002365	0,020000591
A	J	J2	24	BGLU	0	0
A	J	J3	24	BGLU	0	0
A	C	C1	43	BGLU	5,640965355	2,556367437
A	C	C2	43	BGLU	5,834701192	0,306673949
A	C	C3	43	BGLU	11,16738616	3,422971445
A	J	J1	43	BGLU	0,435552101	0,050642844
A	J	J2	43	BGLU	0,708479229	0,073548366
A	J	J3	43	BGLU	0,408683627	0,034056765
A	C	C1	67	BGLU	3,967873394	0,223776834
A	C	C2	67	BGLU	6,700847416	0,61802904
A	C	C3	67	BGLU	8,892287696	0,308048834
A	J	J1	67	BGLU	0,450434607	0,044474686
A	J	J2	67	BGLU	0,853632627	0,053147856
A	J	J3	67	BGLU	0,463930775	0,055952157
B	C	SC1	0	BGLU	1015,501563	86,09830676
B	C	SC2	0	BGLU	860,281004	65,00241998
B	C	SC3	0	BGLU	1175,577287	119,9879432
B	J	SJ1	0	BGLU	424,7635077	46,71597918
B	J	SJ2	0	BGLU	301,4671866	101,6572775
B	J	SJ3	0	BGLU	343,1785694	127,4166341
B	C	SC1	24	BGLU	1,333181444	0,202087592
B	C	SC2	24	BGLU	1,001511914	0,060396942
B	C	SC3	24	BGLU	1,063293493	0,087251249
B	J	SJ1	24	BGLU	0,634074102	0,108659369
B	J	SJ2	24	BGLU	0,812915515	0,18249908
B	J	SJ3	24	BGLU	1,0112669	0,12925101
B	C	SC1	72	BGLU	115,1622437	9,96749929
B	C	SC2	72	BGLU	70,39314869	5,997963712
B	C	SC3	72	BGLU	112,0102395	11,6787114
B	J	SJ1	72	BGLU	66,34678748	3,500452176
B	J	SJ2	72	BGLU	66,2162597	6,521249456
B	J	SJ3	72	BGLU	56,84726567	0,93133124
B	C	SC1	96	BGLU	6,295427043	0,259940228
B	C	SC2	96	BGLU	2,974704029	0,102433949
B	C	SC3	96	BGLU	2,510403044	0,10017787
B	J	SJ1	96	BGLU	0,829739403	0,075932854
B	J	SJ2	96	BGLU	0,663791522	0,05665816
B	J	SJ3	96	BGLU	0,949786806	0,104740632
B	C	SC1	120	BGLU	11,43218641	0,056285894
B	C	SC2	120	BGLU	3,942387822	0,136630726
B	C	SC3	120	BGLU	3,595398632	0,185213582
B	J	SJ1	120	BGLU	0,804719612	0,056285894
B	J	SJ2	120	BGLU	0,595234116	0,102625297
