MODULE	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	sample_ids	p_Control	N_Control	p_Jelly	N_Jelly
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	11.003509168938546	9.093954902852623e-4	0.03419831368692358	Control	M00001	T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_16,T3J_bin_10,T3J_bin_12,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_45,T3C_bin_37,T3C_bin_30,T3C_bin_48,T3C_bin_33,T3C_bin_3,T3C_bin_24,T3C_bin_47	0.8125	48	0.375	16
Succinate dehydrogenase, prokaryotes	9.874331872702081	0.0016760044571407203	0.03419831368692358	Control	M00149	T3J_bin_3,T3J_bin_7,T3J_bin_1,T3J_bin_17,T3J_bin_11,T3J_bin_13,T3J_bin_10,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_45,T3C_bin_37,T3C_bin_43,T3C_bin_30,T3C_bin_33,T3C_bin_42,T3C_bin_3,T3C_bin_6,T3C_bin_24,T3C_bin_47	0.875	48	0.5	16
Histidine degradation, histidine => N-formiminoglutamate => glutamate	9.69696988534251	0.0018457211284880345	0.03419831368692358	Jelly	M00045	T3J_bin_3,T3J_bin_8,T3J_bin_16,T3J_bin_18,T3J_bin_13,T3J_bin_5,T3C_bin_29,T3C_bin_32,T3C_bin_23	0.0625	48	0.375	16
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	9.696969764374407	0.0018457212499926217	0.03419831368692358	Control	M00011	T3J_bin_7,T3J_bin_1,T3J_bin_9,T3J_bin_17,T3J_bin_11,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_45,T3C_bin_43,T3C_bin_33,T3C_bin_3,T3C_bin_6,T3C_bin_24	0.7916666666666666	48	0.375	16
Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	9.442623552817082	0.00212000015182829	0.03419831368692358	Jelly	M00133	T3J_bin_8,T3J_bin_18,T3J_bin_5	0	48	0.1875	16
Citrate cycle (TCA cycle, Krebs cycle)	8.888892261295545	0.0028691074926588136	0.038568644264337794	Control	M00009	T3J_bin_3,T3J_bin_1,T3J_bin_9,T3J_bin_17,T3J_bin_14,T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_10,T3C_bin_38,T3C_bin_12,T3C_bin_39,T3C_bin_26,T3C_bin_44,T3C_bin_17,T3C_bin_15,T3C_bin_37,T3C_bin_33,T3C_bin_3,T3C_bin_6,T3C_bin_24	0.7291666666666666	48	0.3125	16
Cytochrome c oxidase, cbb3-type	8.528608352632252	0.0034960691911555316	0.040282905090231684	Jelly	M00156	T3J_bin_6,T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_16,T3J_bin_1,T3J_bin_9,T3J_bin_18,T3J_bin_13,T3J_bin_12,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_2,T3C_bin_34,T3C_bin_1,T3C_bin_17,T3C_bin_6,T3C_bin_23	0.22916666666666663	48	0.625	16
Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	8.166846711373871	0.004266301299240852	0.04301306004286831	Control	M00010	T3J_bin_3,T3C_bin_36,T3C_bin_40,T3C_bin_29,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_21,T3C_bin_19,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_1,T3C_bin_27,T3C_bin_28,T3C_bin_13,T3C_bin_10,T3C_bin_38,T3C_bin_44,T3C_bin_15,T3C_bin_37,T3C_bin_33,T3C_bin_3	0.4583333333333333	48	0.0625	16
Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	7.111259679643448	0.0076601262552323905	0.061788862540666754	Control	M00741	T3C_bin_36,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_20,T3C_bin_35,T3C_bin_19,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_27,T3C_bin_22,T3C_bin_45,T3C_bin_37	0.3333333333333333	48	0	16
Pyruvate oxidation, pyruvate => acetyl-CoA	7.111113276383876	0.007660751881903373	0.061788862540666754	Control	M00307	T3J_bin_3,T3J_bin_8,T3J_bin_7,T3J_bin_9,T3J_bin_17,T3J_bin_18,T3J_bin_13,T3J_bin_10,T3C_bin_11,T3C_bin_40,T3C_bin_14,T3C_bin_29,T3C_bin_9,T3C_bin_7,T3C_bin_16,T3C_bin_20,T3C_bin_41,T3C_bin_35,T3C_bin_19,T3C_bin_2,T3C_bin_18,T3C_bin_32,T3C_bin_34,T3C_bin_27,T3C_bin_31,T3C_bin_22,T3C_bin_28,T3C_bin_5,T3C_bin_13,T3C_bin_8,T3C_bin_10,T3C_bin_38,T3C_bin_4,T3C_bin_12,T3C_bin_26,T3C_bin_44,T3C_bin_15,T3C_bin_45,T3C_bin_37,T3C_bin_30,T3C_bin_48,T3C_bin_33,T3C_bin_42,T3C_bin_3,T3C_bin_6,T3C_bin_46,T3C_bin_24,T3C_bin_47	0.8333333333333334	48	0.5	16
