key	function	accession	associated_groups	p_Control	N_Control	p_Jelly	N_Jelly
func_00aacafe0a4e	CBM40.hmm	-	Control,Jelly	0.02702702702702703	37	0.075	40
func_012507266356	GH25.hmm	-	Control,Jelly	0.02702702702702703	37	0.1	40
func_059c18e8666e	GH110.hmm	-	Control	0.02702702702702703	37	0	40
func_065b4f670cb6	GH53.hmm	-	Jelly	0	37	0.05	40
func_06b51812be2c	GH23.hmm	-	Control,Jelly	0.8378378378378378	37	0.925	40
func_096ed33e45eb	PL14.hmm	-	Jelly	0	37	0.025	40
func_09cac834bf93	GH13_37.hmm	-	Jelly	0	37	0.025	40
func_0a78e4f9c066	PL12.hmm	-	Control,Jelly	0.08108108108108109	37	0.05	40
func_0b0861d3d1c9	PL31.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_0d2cedc75c68	GT21.hmm	-		0	37	0	40
func_11760fe2cd6f	GT32.hmm	-	Control,Jelly	0.05405405405405406	37	0.025	40
func_11e0c4ef82aa	GH16_3.hmm	-	Control,Jelly	0.24324324324324326	37	0.25	40
func_126e8d5afe73	PL25.hmm	-	Jelly	0	37	0.025	40
func_14633aace9c4	PL6_2.hmm	-		0	37	0	40
func_14704c44a692	GH4.hmm	-	Control,Jelly	0.16216216216216217	37	0.075	40
func_14850dde54a3	GH43_12.hmm	-	Control	0.02702702702702703	37	0	40
func_18cf65a55f95	CBM47.hmm	-	Control	0.02702702702702703	37	0	40
func_1a8cc724d62f	GH128.hmm	-	Jelly	0	37	0.025	40
func_1bb3d6b7f2df	GH29.hmm	-	Control	0.08108108108108109	37	0	40
func_1cfd6072c100	CBM50.hmm	-	Control,Jelly	0.6216216216216216	37	0.75	40
func_1f94c8ef5dea	GH78.hmm	-	Control,Jelly	0.05405405405405406	37	0.025	40
func_201845763feb	PL33.hmm	-	Control	0.02702702702702703	37	0	40
func_2062c07dc8a4	GH106.hmm	-	Control,Jelly	0.05405405405405406	37	0.025	40
func_207463ddd34b	CE3.hmm	-	Control,Jelly	0.21621621621621623	37	0.1	40
func_2093d5f7d9b9	GH2.hmm	-	Control,Jelly	0.2972972972972973	37	0.35	40
func_20c2606963fe	GT76.hmm	-	Jelly	0	37	0.025	40
func_2133b346fb0d	GH95.hmm	-	Control,Jelly	0.05405405405405406	37	0.025	40
func_2175e86010e9	GH3.hmm	-	Control,Jelly	0.7567567567567568	37	0.875	40
func_2240ec064083	GH37.hmm	-	Control,Jelly	0.02702702702702703	37	0.1	40
func_2383b9203125	GH31.hmm	-	Control,Jelly	0.05405405405405406	37	0.2	40
func_2390eb660035	PL42.hmm	-		0	37	0	40
func_24d66a30ab3f	GT22.hmm	-	Jelly	0	37	0.025	40
func_262c310a3a2e	GH142.hmm	-		0	37	0	40
func_282ef7ba77c8	GH84.hmm	-	Control,Jelly	0.16216216216216217	37	0.025	40
func_28894e6ad659	GH33.hmm	-	Control,Jelly	0.16216216216216217	37	0.2	40
func_28d5b34ff329	GH171.hmm	-	Control,Jelly	0.16216216216216217	37	0.375	40
func_2bedce72c4ac	GH13_19.hmm	-	Control,Jelly	0.05405405405405406	37	0.15	40
func_2c77efb56126	AA1.hmm	-	Control,Jelly	0.21621621621621623	37	0.275	40
func_2cbee618ecda	GT1.hmm	-	Jelly	0	37	0.075	40
func_2d36e81e66dd	PL38.hmm	-	Jelly	0	37	0.025	40
func_2e29eb0a9eca	GH133.hmm	-	Jelly	0	37	0.025	40
func_2e43f2f0173f	GH43_18.hmm	-	Control	0.05405405405405406	37	0	40
func_2f6a6426714e	GH5_4.hmm	-		0	37	0	40
func_342bceeffc52	GH13_29.hmm	-	Jelly	0	37	0.05	40
func_3431003c4898	GH92.hmm	-	Control,Jelly	0.05405405405405406	37	0.125	40
func_3507c631752a	GH13_13.hmm	-	Control,Jelly	0.05405405405405406	37	0.175	40
func_38f459d1c692	GH129.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_39a8103e2629	GH36.hmm	-	Control,Jelly	0.1891891891891892	37	0.2	40
func_3ae841515850	GT5.hmm	-	Control,Jelly	0.21621621621621623	37	0.525	40
func_3b233c4b00ff	PL11_1.hmm	-		0	37	0	40
func_3b308311b528	GH43_1.hmm	-	Control	0.02702702702702703	37	0	40
func_3bab125588e7	GH123.hmm	-		0	37	0	40
func_3c5ab9c235cd	GH116.hmm	-	Control,Jelly	0.05405405405405406	37	0.025	40
func_407c2c29911e	GH13_10.hmm	-	Control,Jelly	0.05405405405405406	37	0.1	40
func_41ea8616553f	GT90.hmm	-	Jelly	0	37	0.05	40
func_45a4c9e28f7e	GH13_1.hmm	-	Jelly	0	37	0.025	40
func_45b951d7ab1a	PL35.hmm	-	Control	0.02702702702702703	37	0	40
func_4622de009ac5	PL17.hmm	-	Jelly	0	37	0.025	40
func_46eb3271b3ba	GH166.hmm	-	Control,Jelly	0.02702702702702703	37	0.05	40
func_4828e3a3a884	CE7.hmm	-	Control,Jelly	0.10810810810810811	37	0.2	40
func_4c130ebef19f	GH97.hmm	-	Control,Jelly	0.05405405405405406	37	0.225	40
func_4cd03d385e0e	GH16.hmm	-	Jelly	0	37	0.025	40
func_4f1bd08f1424	GH5_2.hmm	-	Jelly	0	37	0.025	40
func_51060416b12d	GH149.hmm	-	Control,Jelly	0.13513513513513514	37	0.075	40
func_52071fef259d	GH13_20.hmm	-	Control,Jelly	0.02702702702702703	37	0.05	40
func_531be2e241d0	GH13_30.hmm	-	Control	0.02702702702702703	37	0	40
func_537ca023583a	GH5_22.hmm	-	Jelly	0	37	0.025	40
func_539e44bd6920	GT114.hmm	-	Control	0.02702702702702703	37	0	40
func_5628ea4c7045	GT19.hmm	-	Control,Jelly	0.7567567567567568	37	0.95	40
func_57697dbf4321	PL6_1.hmm	-	Control,Jelly	0.05405405405405406	37	0.125	40
func_58d0ca345255	GT2_Glyco_tranf_2_2.hmm	PF10111.8	Jelly	0	37	0.025	40
func_596371b586df	GT11.hmm	-	Control,Jelly	0.02702702702702703	37	0.05	40
func_5a0ee4e25d8b	GT41.hmm	-	Control,Jelly	0.7567567567567568	37	0.85	40
func_5a4e5a784701	GH5.hmm	-	Control,Jelly	0.02702702702702703	37	0.05	40
func_5a9c2bba38a4	GT20.hmm	-	Control,Jelly	0.13513513513513514	37	0.025	40
func_5bc920f64cbc	AA7.hmm	-	Control,Jelly	0.43243243243243246	37	0.3	40
func_5d41a2ade352	GT29.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_5d4c193ffada	GH115.hmm	-	Jelly	0	37	0.025	40
func_5e2d25e10847	GT87.hmm	-	Jelly	0	37	0.075	40
func_5f59847a1ca9	CE2.hmm	-	Jelly	0	37	0.05	40
func_60a808cd6f47	CBM32.hmm	-	Jelly	0	37	0.075	40
func_6164ffd91da6	GT100.hmm	-	Control,Jelly	0.02702702702702703	37	0.025	40
func_6178afa712d6	CBM12.hmm	-	Jelly	0	37	0.025	40
func_61a19f8f0ade	GH13_4.hmm	-	Jelly	0	37	0.025	40
func_61d1d515f41f	CBM51.hmm	-	Jelly	0	37	0.025	40
