key	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	function	p_Control	N_Control	p_Jelly	N_Jelly
func_aabe81403417	26.67115205975171	2.411958205563429e-7	7.692709411961599e-4	Control,Jelly	COG0348	Polyferredoxin NapH (NapH) (PUBMED:27322068)	0.2972972972972973	37	0.875	40
func_eaee92deceee	23.733339375626443	1.1064906940541293e-06	0.001764522983185307	Control,Jelly	COG2315	Predicted DNA-binding protein with double-wing structural motif, MmcQ/YjbR family (MmcQ) (PDB:2A1V) (PUBMED:17266124)	0.10810810810810811	37	0.65	40
func_0b592eb42826	22.448813206915784	2.158187994077693e-6	0.0022944445522216565	Control,Jelly	COG2838	Monomeric isocitrate dehydrogenase (IcdM) (PDB:1ITW)	0.35135135135135137	37	0.875	40
func_657ecd210e2c	21.184561171533332	4.171110180584738e-6	0.0026293640587075275	Control,Jelly	COG1032	Radical SAM superfamily enzyme YgiQ, UPF0313 family (YgiQ) (PDB:6FD2)	0.13513513513513514	37	0.65	40
func_26ad14107672	20.228108112968194	6.87355328235016e-6	0.0026293640587075275	Control,Jelly	COG2183	Transcriptional accessory protein Tex/SPT6 (Tex) (PDB:2OCE)	0.1891891891891892	37	0.7	40
func_39f0520b01de	20.060937500779875	7.501328058067199e-6	0.0026293640587075275	Control,Jelly	COG2819	Predicted hydrolase of the alpha/beta superfamily (YbbA) (PDB:3GFF)	0.02702702702702703	37	0.475	40
func_aff36c702d12	19.932312333217386	8.023277730891139e-6	0.0026293640587075275	Control,Jelly	COG2824	Uncharacterized Zn-ribbon-containing protein (PhnA) (PDB:2AKK)	0.21621621621621623	37	0.725	40
func_fba46bfc7b46	19.932312333217386	8.023277730891139e-6	0.0026293640587075275	Control,Jelly	COG0784	CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)	0.21621621621621623	37	0.725	40
func_61198c9cc439	19.838230753541314	8.428004029629293e-6	0.0026293640587075275	Control,Jelly	COG0796	Glutamate racemase (MurI) (PDB:1B73)	0.32432432432432434	37	0.825	40
func_ca808526d56c	19.747100476845894	8.839570071899172e-6	0.0026293640587075275	Control,Jelly	COG1596	Periplasmic protein Wza involved in polysaccharide export, contains SLBB domain of the beta-grasp fold (Wza) (PDB:2J58) (PUBMED:17250770)	0.24324324324324328	37	0.75	40
