key	function	accession	associated_groups	p_Control	N_Control	p_Jelly	N_Jelly
func_0002d8369b12	Predicted extracellular nuclease	COG2374	Control,Jelly	0.40540540540540543	37	0.6	40
func_001d9d43a996	3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase (CysQ)	COG1218	Control,Jelly	0.6216216216216216	37	0.65	40
func_002b230ee677	Predicted transcription regulator, contains HTH domain, MarR family	COG5631	Control	0.10810810810810811	37	0	40
func_003f6a8a117f	Sulfatase maturation enzyme AslB, radical SAM superfamily (AslB) (PDB:4K37)	COG0641	Control,Jelly	0.02702702702702703	37	0.075	40
func_0062c81f4653	Uncharacterized conserved protein YfaS, alpha-2-macroglobulin family (YfaS) (PDB:2A73)	COG2373	Control,Jelly	0.16216216216216217	37	0.45	40
func_00640d2dab61	Fe2+ transport protein FeoA (FeoA) (PDB:2GCX)	COG1918	Control,Jelly	0.21621621621621623	37	0.375	40
func_007a30d7e8ab	Predicted helicase (PDB:5FFJ)	COG4889	Control	0.05405405405405406	37	0	40
func_008e598bce1d	Type IV pilus assembly protein PilX (PilX)	COG4726	Control,Jelly	0.10810810810810811	37	0.15	40
func_009e10041752	Uncharacterized conserved protein ECs_4300, contains TPR-like domain	COG4700	Jelly	0	37	0.025	40
func_00b09d14654a	Type 1 glutamine amidotransferase (GATase1)-like domain	COG3828	Control,Jelly	0.21621621621621623	37	0.1	40
func_00d40e17731f	tRNA (Thr-GGU) A37 N6-methylase (TrmO) (PDB:1XQB) (PUBMED:22905870)	COG1720	Control,Jelly	0.16216216216216217	37	0.35	40
func_00efe8378a15	Uncharacterized copper-binding protein, cupredoxin-like subfamily	COG4454	Control,Jelly	0.08108108108108109	37	0.05	40
func_0107df038332	Mg-chelatase subunit ChlI (ChlI) (PDB:1G8P)	COG1239	Control,Jelly	0.43243243243243246	37	0.35	40
func_011711f2814b	ABC-type enterochelin transport system, periplasmic component (CeuA) (PDB:3ZKW)	COG4607	Control,Jelly	0.02702702702702703	37	0.075	40
func_011a7361f388	Antitoxin component YwqK of the YwqJK toxin-antitoxin module (YwqK)	COG2849	Control,Jelly	0.10810810810810811	37	0.3	40
func_012d07696b47	Uncharacterized conserved protein, DUF1285 family (PDB:2RA9)	COG3816	Control,Jelly	0.5675675675675675	37	0.525	40
func_012ed0e56f5f	DNA-binding transcriptional regulator, FadR family (FadR) (PDB:1E2X)	COG2186	Control,Jelly	0.5675675675675675	37	0.65	40
func_01307f085a73	Adenylate cyclase, class I (CyaA)	COG3072	Control,Jelly	0.16216216216216217	37	0.1	40
func_0154354f7b86	Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)	COG3119	Control,Jelly	0.8108108108108109	37	0.75	40
func_017823329f5d	Nitrous oxide reductase accessory protein NosD, contains tandem CASH domains (NosD) (PDB:2KZW)	COG3420	Control,Jelly	0.21621621621621623	37	0.225	40
func_01812e00b7e8	Ubiquinone biosynthesis accessory factor UbiT, lipid carrier SCP2 domain (UbiT) (PDB:1C44) (PUBMED:31289180)	COG3154	Control,Jelly	0.05405405405405406	37	0.075	40
func_0183c076babe	Ribosomal protein L3 (RplC) (PDB:1VS6)	COG0087	Control,Jelly	0.43243243243243246	37	0.325	40
func_018f18049e9b	Transcription-repair coupling factor (superfamily II helicase) (Mfd) (PDB:2EYQ)	COG1197	Control,Jelly	0.9459459459459459	37	0.95	40
func_0199a61ef8a4	Uncharacterized conserved protein (PDB:6IAQ)	COG3804	Control,Jelly	0.02702702702702703	37	0.025	40
func_01af1c435f8b	ATP-dependent 26S proteasome regulatory subunit (RPT1) (PDB:5EQT)	COG1222	Jelly	0	37	0.05	40
func_01b81dd6cba4	Fucose 4-O-acetylase or related acetyltransferase (NolL) (PUBMED:21697094)	COG3594	Control,Jelly	0.02702702702702703	37	0.05	40
func_01b87dbe55b1	Predicted periplasmic protein	COG3904,COG3656	Control,Jelly	0.02702702702702703	37	0.275	40
func_01d549b5df3d	Bacteriochlorophyllide reductase subunit BchY (BchY) (PUBMED:21886856)	COG5754	Control,Jelly	0.21621621621621623	37	0.15	40
func_0217304d7d7b	Exonuclease III (XthA) (PDB:1AKO)	COG0708	Control,Jelly	0.972972972972973	37	0.975	40
func_021fa1b4c2ef	SH3-like domain (SH3)	COG3807	Control,Jelly	0.5405405405405406	37	0.25	40
func_022c6d4eb06b	Isoaspartyl peptidase or L-asparaginase, Ntn-hydrolase superfamily (IaaA) (PDB:1APY)	COG1446	Control,Jelly	0.2702702702702703	37	0.475	40
func_024292390cb8	Molybdopterin-guanine dinucleotide biosynthesis protein A (MobA) (PDB:1E5K) (PUBMED:32239579)	COG0746	Control,Jelly	0.43243243243243246	37	0.7	40
func_024a76cfedd8	DMSO reductase anchor subunit DmsC (DmsC)	COG3302	Control,Jelly	0.24324324324324326	37	0.175	40
func_025c036ecfdb	O-acetyl-ADP-ribose deacetylase (regulator of RNase III), contains Macro domain (YmdB) (PDB:1HJZ)	COG2110	Control,Jelly	0.05405405405405406	37	0.175	40
func_025c35da4728	HrpA-like RNA helicase (HrpA) (PDB:5N8R)	COG1643	Control,Jelly	0.43243243243243246	37	0.775	40
func_026662294054	Lipopolysaccharide export system protein LptA (LptA) (PDB:2R19)	COG1934	Control,Jelly	0.6216216216216216	37	0.85	40
func_026f43a27425	L-2-hydroxyglutarate oxidase LhgO (LhgO) (PDB:3DME)	COG0579	Control,Jelly	0.2972972972972973	37	0.5	40
func_027d1c3eb81e	Na+/H+ antiporter NhaC/MleN (NhaC)	COG1757	Control,Jelly	0.3783783783783784	37	0.625	40
func_02dd1642ba64	Uncharacterized conserved protein YbbK, DUF523 family (YbbK)	COG1683	Control,Jelly	0.10810810810810811	37	0.425	40
func_02f6528d339b	Phage tail collar domain (MdpB) (PDB:1OCY) (PUBMED:16554069;29204885)	COG4675	Control,Jelly	0.05405405405405406	37	0.225	40
func_03027c69f141	Regulator of PEP synthase PpsR, kinase-PPPase family (combines ADP:protein kinase and phosphorylase activities) (PpsR) (PDB:5D0N)	COG1806	Control,Jelly	0.35135135135135137	37	0.375	40
func_030ff3c3ca0e	N-Dimethylarginine dimethylaminohydrolase (DdaH) (PDB:6LRH)	COG1834	Control,Jelly	0.3783783783783784	37	0.2	40
func_034377f11ae5	NH3-dependent NAD+ synthetase (NadE) (PDB:3HMQ)	COG0171	Control,Jelly	0.918918918918919	37	0.825	40
func_0350a6397eea	Flavodoxin (FldA) (PDB:1AG9)	COG0716	Control,Jelly	0.10810810810810811	37	0.5	40
func_03897398e385	Alanine-alpha-ketoisovalerate (or valine-pyruvate) aminotransferase (AvtA) (PDB:3G7Q)	COG3977	Control,Jelly	0.08108108108108109	37	0.05	40
func_03a409eb07bc	3-phenylpropionate/cinnamic acid dioxygenase, small subunit (HcaF)	COG5517	Control,Jelly	0.05405405405405406	37	0.025	40
func_03aa3392c5ac	Alpha-L-arabinofuranosidase (AbfA) (PDB:1PZ2)	COG3534	Control,Jelly	0.02702702702702703	37	0.05	40
func_03d474eb3abc	Ribonucleotide reductase alpha subunit (NrdA) (PDB:1R1R)	COG0209	Control,Jelly	1.0	37	0.875	40
func_03e55cf2f5f4	Acetolactate synthase, small subunit (IlvH) (PDB:2F1F)	COG0440	Control,Jelly	0.7837837837837838	37	0.6	40
func_03ee2bb5402f	Flagellar basal body L-ring protein FlgH (FlgH)	COG2063	Control,Jelly	0.3783783783783784	37	0.425	40
func_03f913032ea1	Phosphatidate phosphatase APP1 (App1) (PUBMED:23071111)	COG4850	Control,Jelly	0.08108108108108109	37	0.05	40
func_040cf74f7c07	Cupin domain protein related to quercetin dioxygenase (QdoI) (PDB:2H0V)	COG1917	Control,Jelly	0.6756756756756757	37	0.8	40
func_040eb6c9beb3	NADPH-dependent curcumin reductase CurA (CurA) (PDB:1V3T) (PUBMED:21467222)	COG2130	Control,Jelly	0.35135135135135137	37	0.35	40
func_0430ed86746c	Prephenate dehydrogenase (TyrA) (PDB:2F1K)	COG0287	Control,Jelly	0.5945945945945946	37	0.55	40
func_04347667b0fe	Membrane-anchored protein YidD, putatitve component of membrane protein insertase Oxa1/YidC/SpoIIIJ (YidD)	COG0759	Control,Jelly	0.5945945945945946	37	0.575	40
func_04450a2afec8	Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit RuvB (RuvB) (PDB:1HQC)	COG2255	Control,Jelly	0.8378378378378378	37	0.85	40
func_0447c95fb4b1	Molybdoenzyme maturation factor PaoD (Mo cofactor insertion), XdhC/CoxF family (XdhC) (PDB:2WE7) (PUBMED:24498065)	COG1975	Control,Jelly	0.6216216216216216	37	0.6	40
func_048517e8dcab	Proline racemase/hydroxyproline epimerase (PrdF) (PDB:1TM0) (PUBMED:17849014)	COG3938	Control,Jelly	0.16216216216216217	37	0.3	40
func_0489983f0976	Type II secretory pathway, component PulL (PulL) (PDB:2W7V) (PUBMED:11679764)	COG3297	Control,Jelly	0.16216216216216217	37	0.4	40
func_04b26c01ba40	Multisubunit Na+/H+ antiporter, MnhC subunit (MnhC) (PDB:6CFW)	COG1006	Control,Jelly	0.3783783783783784	37	0.375	40
func_04b7523d591c	ADP-ribose pyrophosphatase YjhB, NUDIX family (YjhB) (PDB:3GZ5)	COG1051	Control,Jelly	0.8378378378378378	37	0.8	40
func_04d2b805d429	Oxidoreductase (NAD-binding), involved in siderophore biosynthesis (PchG) (PDB:4GMG)	COG4693	Control,Jelly	0.02702702702702703	37	0.025	40
func_04d7fc6c6340	Photosystem II reaction center D2, PsbD (PsbD) (PDB:1S5L) (PUBMED:20558739;25043005)	COG5719	Control,Jelly	0.1891891891891892	37	0.125	40
func_04f3307e8d59	Phosphotransferase system cellobiose-specific component IIC (CelB) (PDB:3QNQ)	COG1455	Control,Jelly	0.02702702702702703	37	0.1	40
func_04f559e97310	Cysteine desulfurase/Cysteine sulfinate desulfinase IscS or related enzyme, NifS family (NifS) (PDB:4IXO) (PUBMED:22773787;25825430)	COG1104	Control,Jelly	0.7837837837837838	37	0.95	40
func_0505fd410362	Uncharacterized protein, contains SWIM-type Zn finger domain (SWIM)	COG4715	Control,Jelly	0.05405405405405406	37	0.1	40
func_05093bd7abb4	Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family (OCDMu) (PDB:2I99)	COG2423	Control,Jelly	0.24324324324324326	37	0.475	40
func_050de9a5cffc	Phosphoenolpyruvate carboxykinase, GTP-dependent (PepCK) (PDB:4R43)	COG1274	Control	0.02702702702702703	37	0	40
func_052318544017	LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA) (LptD) (PDB:4N4R)	COG1452	Control,Jelly	0.8648648648648649	37	0.9	40
func_052dd7b347c3	Uncharacterized conserved protein, DUF1674 domain	COG5508	Control,Jelly	0.32432432432432434	37	0.2	40
func_05343e306746	Porphobilinogen deaminase (HemC) (PDB:1AH5)	COG0181	Control,Jelly	0.8648648648648649	37	0.925	40
func_05413fa5db1f	Carboxylesterase type B (PnbA) (PDB:1K4Y)	COG2272	Control,Jelly	0.16216216216216217	37	0.05	40
func_055233f552a0	Glucuronate isomerase (UxaC) (PDB:1J5S)	COG1904	Control,Jelly	0.24324324324324326	37	0.075	40
func_056868f67231	Secreted phosphatase, PhoX family (PhoX) (PDB:3ZWU)	COG3211	Control,Jelly	0.32432432432432434	37	0.525	40
func_05818b28cc3b	Na+-dependent transporter, SNF family (YocR) (PDB:2A65)	COG0733	Control,Jelly	0.32432432432432434	37	0.4	40
func_0583b0bd1b28	Transcription termination/antitermination protein NusG (NusG) (PDB:3EWG) (PUBMED:19500594)	COG0250	Control,Jelly	0.8378378378378378	37	0.6	40
func_05b6c4e558f6	Uncharacterized conserved protein YcfL (YcfL)	COG5633	Control,Jelly	0.02702702702702703	37	0.1	40
func_05b7e0ed842d	DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase) (AdaB) (PDB:6RLA) (PUBMED:29061663)	COG0350	Control,Jelly	0.7567567567567568	37	0.675	40
func_05c28e30fd28	Panthothenate synthetase (PanC) (PDB:1DIN) (PUBMED:17968677)	COG0414	Control,Jelly	0.6756756756756757	37	0.85	40
func_05d086164ffc	ACT domain, ACT-3 family (ACT-3) (PDB:1ZVP)	COG3602	Control,Jelly	0.1891891891891892	37	0.125	40
func_05d24ae03736	tRNA U38,U39,U40 pseudouridine synthase TruA (TruA) (PDB:1DJ0)	COG0101	Control,Jelly	0.918918918918919	37	0.875	40
func_05f18dc98b55	Fe-S cluster biosynthesis and repair protein YggX (YggX) (PDB:1T07) (PUBMED:24421039)	COG2924	Control,Jelly	0.1891891891891892	37	0.325	40
func_05f1ba20481b	dsDNA-specific endonuclease/ATPase MutS2 (MutS2)	COG1193	Control,Jelly	0.16216216216216217	37	0.275	40
func_05f8b1a43bb8	Uncharacterized protein, contains RES domain (RES)	COG5654	Control,Jelly	0.02702702702702703	37	0.075	40
func_05fa67c68944	Glutamine synthetase adenylyltransferase (GlnE1) (PDB:1V4A)	COG1391	Control,Jelly	0.7297297297297297	37	0.65	40
func_060988dd6d3a	Recombinational DNA repair ATPase RecF (RecF) (PDB:5Z67)	COG1195	Control,Jelly	0.8918918918918919	37	0.85	40
func_0610da4f3b77	Uncharacterized small protein, DUF1192 family	COG5509	Control	0.02702702702702703	37	0	40
func_06157441451a	Uncharacterized conserved protein, DUF1794 domain	COG5514	Control,Jelly	0.05405405405405406	37	0.1	40
func_0631d9fecae6	Phosphoenolpyruvate carboxylase (Ppc) (PDB:1FIY)	COG2352	Control,Jelly	0.5675675675675675	37	0.45	40
func_0639a42dc3e4	L,D-peptidoglycan transpeptidase YkuD, ErfK/YbiS/YcfS/YnhG family (PUBMED:16647082)	COG3786	Control,Jelly	0.24324324324324326	37	0.175	40
func_06457d556060	DNA-cytosine methylase (Dcm) (PDB:3LX6)	COG0270	Control,Jelly	0.10810810810810811	37	0.325	40
func_0651d765eddb	Fructosamine-3-kinase (FN3K) (PDB:3F7W)	COG3001	Control,Jelly	0.05405405405405406	37	0.375	40
func_0656152fd646	Phage tail sheath protein FI (PDB:3J9Q) (PUBMED:18586829)	COG3497	Control,Jelly	0.05405405405405406	37	0.125	40
func_0667f6ee4c27	Isopenicillin N synthase and related dioxygenases (PcbC) (PDB:1BK0)	COG3491	Control,Jelly	0.5675675675675675	37	0.725	40
func_066fe890d8d7	Aconitase A (AcnA) (PDB:1ACO)	COG1048	Control,Jelly	0.6756756756756757	37	0.725	40
func_06769d72f4b2	DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains (RpiR) (PDB:2O3F)	COG1737	Control,Jelly	0.43243243243243246	37	0.675	40
func_067e9bd80af5	Glycerol-3-phosphate O-acyltransferase (PlsB)	COG2937	Control,Jelly	0.2972972972972973	37	0.45	40
func_069d80b9a11d	DNA-binding transcriptional regulator, MltR family (MtlR) (PDB:3BRJ)	COG3722	Control,Jelly	0.02702702702702703	37	0.025	40
func_06a2947a5949	Uncharacterized protein, contains Zn-finger domain (PDB:2JRR)	COG4391	Control,Jelly	0.2972972972972973	37	0.2	40
func_06cee76a35ef	Putative effector of murein hydrolase (LrgB)	COG1346	Control,Jelly	0.1891891891891892	37	0.425	40
func_06d50efd5fcc	Type II secretory pathway, component PulC (PulC) (PDB:2LNV)	COG3031	Control,Jelly	0.24324324324324326	37	0.325	40
func_06df0df7203c	Phosphotransferase system cellobiose-specific component IIB (CelA) (PDB:1E2B)	COG1440	Jelly	0	37	0.025	40
func_06df96f86b30	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC (TsaC) (PDB:1HRU)	COG0009	Control,Jelly	0.9459459459459459	37	0.925	40
func_06f2af7099d7	Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase (BglB) (PDB:4HZ6)	COG2723	Control,Jelly	0.21621621621621623	37	0.3	40
func_0710e993da20	Vitamin K epoxide reductase (VKOR) family protein, predicted involvement in disulfide bond formation (PDB:3KP9) (PUBMED:24576574)	COG4243	Control	0.02702702702702703	37	0	40
func_072879792f0f	Predicted metal-dependent enzyme of the double-stranded beta helix superfamily	COG5553	Control,Jelly	0.02702702702702703	37	0.05	40
func_0735b1074461	Alkaline phosphatase (PhoA) (PDB:1AJA)	COG1785	Control,Jelly	0.3783783783783784	37	0.45	40
func_0739ddd86bd6	Glucose-6-phosphate dehydrogenase assembly protein OpcA, contains a peptidoglycan-binding domain (OpcA)	COG3429	Control	0.02702702702702703	37	0	40
func_0750621ad212	Predicted enzyme of the cupin superfamily (PDB:1LKN)	COG3450	Control,Jelly	0.13513513513513514	37	0.2	40
func_0754974fe21b	Protein-tyrosine-phosphatase (Wzb) (PDB:4D74) (PUBMED:26641313)	COG0394	Control,Jelly	0.8648648648648649	37	0.85	40
func_07552b139685	ABC-type Zn2+ transport system, periplasmic component/surface adhesin ZnuA (ZnuA) (PDB:2OGW)	COG4531	Control,Jelly	0.5135135135135135	37	0.375	40
func_0762f8c89a3b	DNA topoisomerase VI, subunit B (PDB:1MU5)	COG1389	Jelly	0	37	0.025	40
func_07713c3b75ee	Uncharacterized cysteine cluster protein YcgN, CxxCxxCC family (YcgN)	COG2983	Control,Jelly	0.6486486486486487	37	0.625	40
func_078660a34b73	Uncharacterized conserved protein YciU, UPF0263 family (YciU) (PDB:1NNV)	COG3099	Control,Jelly	0.02702702702702703	37	0.1	40
func_079660229d03	Succinate dehydrogenase/fumarate reductase, cytochrome b subunit (SdhC) (PDB:2WU2) (PUBMED:18511537)	COG2009	Control,Jelly	0.6216216216216216	37	0.5	40
func_07c17d2b572c	Uncharacterized conserved protein, DUF1778 family (PDB:1Y9B)	COG4453	Jelly	0	37	0.05	40
func_07c6857424aa	Branched-chain amino acid ABC-type transport system, permease component (LivH)	COG0559	Control,Jelly	0.5945945945945946	37	0.45	40
func_08043ed8c01a	YqgF/RuvX protein, pre-16S rRNA maturation RNase/Holliday junction resolvase/anti-termination factor (YqgF) (PDB:1IV0) (PUBMED:25545592;26817626)	COG0816	Control,Jelly	0.8918918918918919	37	0.9	40
func_081a3fd09c2c	Uncharacterized conserved protein, DUF2147 family (PDB:4INN)	COG4731	Control,Jelly	0.2972972972972973	37	0.425	40
func_083182b77997	Rhamnogalacturonyl hydrolase YesR (YesR) (PDB:1NC5)	COG4225	Control,Jelly	0.10810810810810811	37	0.075	40
func_0845f14d976c	23S rRNA C2501 and tRNA U34 5'-hydroxylation protein RlhA/YrrN/YrrO, U32 peptidase family (RlhA) (PDB:5D88) (PUBMED:31253794;31358606)	COG0826	Control,Jelly	0.16216216216216217	37	0.525	40
func_0853a8ae1ff6	Predicted component of the type VI protein secretion system (PDB:3RX9)	COG3521	Control,Jelly	0.08108108108108109	37	0.125	40
