key	function	accession	associated_groups	p_Control	N_Control	p_Jelly	N_Jelly
func_0001e1942cdc	family_S11_unassigned_peptidases_(Roseobacter_sp._MED193)_[S11.UPW]	MER0083408	Jelly	0	37	0.025	40
func_0009672abe9a	family_M19_unassigned_peptidases_()_[M19.UPW]	MER1201854,MER1204627,MER1204430,MER0341379,MER0341573,MER0324062	Control	0.24324324324324326	37	0	40
func_000dd78b03bb	family_I2_unassigned_peptidase_inhibitors_(Alcanivorax_hongdengensis)_[I02.UPW]	MER0312740	Control	0.02702702702702703	37	0	40
func_0019f8815091	subfamily_M20F_unassigned_peptidases_(Krokinobacter_sp._4H-3-7-5)_[M20.UPF]	MER0246319		0	37	0	40
func_001c2e208b59	family_S54_unassigned_peptidases_(Polaribacter_sp._MED152)_[S54.UPW]	MER1078648	Jelly	0	37	0.025	40
func_0029d254fd8d	subfamily_M24B_non-peptidase_homologues_(Pelagibaca_bermudensis)_[M24.UNB]	MER0166105	Control,Jelly	0.05405405405405406	37	0.025	40
func_003a42a0ff9c	_(Alteromonas_mediterranea)_[G05.UPW]	MER0097172	Jelly	0	37	0.025	40
func_003ea4241c7d	family_S13_unassigned_peptidases_(Oceanibulbus_indolifex)_[S13.UPW]	MER0125123		0	37	0	40
func_004e8278942e	family_S33_unassigned_peptidases_(Hoeflea_phototrophica)_[S33.UPW]	MER0209811	Jelly	0	37	0.025	40
func_0066158efd73	family_S16_non-peptidase_homologues_(Photorhabdus_asymbiotica)_[S16.UNW]	MER0238336		0	37	0	40
func_007b83f382ac	subfamily_S1C_unassigned_peptidases_(Fluviicola_taffensis)_[S01.UPC]	MER0242940	Jelly	0	37	0.075	40
func_0081d0d53e54	subfamily_M15A_non-peptidase_homologues_()_[M15.UNA]	MER0167982,MER0161084	Control,Jelly	0.02702702702702703	37	0.025	40
func_00918d3ad0de	HtpX_peptidase_(Neptuniibacter_caesariensis)_[M48.002]	MER0138540	Jelly	0	37	0.025	40
func_009ef8a739fd	subfamily_M48C_unassigned_peptidases_(Cystobacter_violaceus)_[M48.UPC]	MER0889459	Jelly	0	37	0.025	40
func_00a53decd0cb	family_S9_non-peptidase_homologues_(Desulfovibrio_fructosivorans)_[S09.UNW]	MER0241324	Jelly	0	37	0.075	40
func_00af6b8ea45b	family_S33_unassigned_peptidases_(Halomicrobium_mukohataei)_[S33.UPW]	MER0128422	Control,Jelly	0.02702702702702703	37	0.025	40
