MODULE	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	sample_ids	p_Jelly	N_Jelly	p_Control	N_Control
Histidine degradation, histidine => N-formiminoglutamate => glutamate	13.759390248510332	2.0777953849357688e-4	0.027683120543819776	Jelly	M00045	T4J_bin_2,T4J_bin_24,T4J_bin_31,T4J_bin_32,T4J_bin_11,T4J_bin_9,T4J_bin_28,T4J_bin_33,T4J_bin_4,T4J_bin_8,T4J_bin_16,T4J_bin_13,T4J_bin_10,T4J_bin_3,T4J_bin_18,T4J_bin_35,T4J_bin_34,T4J_bin_27,T4J_bin_20,T4J_bin_25,T4C_bin_28,T4C_bin_10,T4C_bin_26,T4C_bin_33	0.5	40	0.10810810810810811	37
Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	10.630618514617037	0.0011123050615375954	0.062158373007150186	Jelly	M00038	T4J_bin_2,T4J_bin_24,T4J_bin_14,T4J_bin_11,T4J_bin_9,T4J_bin_33,T4J_bin_4,T4J_bin_16,T4J_bin_27,T4J_bin_25	0.25	40	0	37
NAD biosynthesis, tryptophan => quinolinate => NAD	10.206302411199967	0.0013996151232113082	0.062158373007150186	Jelly	M00912	T4J_bin_2,T4J_bin_24,T4J_bin_14,T4J_bin_11,T4J_bin_9,T4J_bin_33,T4J_bin_4,T4J_bin_16,T4J_bin_3,T4J_bin_18,T4J_bin_27,T4J_bin_25,T4C_bin_5	0.3	40	0.02702702702702703	37
beta-Oxidation, acyl-CoA synthesis	9.645557614972454	0.001898100684034581	0.06322247900514566	Jelly	M00086	T4J_bin_2,T4J_bin_30,T4J_bin_24,T4J_bin_17,T4J_bin_31,T4J_bin_14,T4J_bin_19,T4J_bin_15,T4J_bin_32,T4J_bin_7,T4J_bin_11,T4J_bin_9,T4J_bin_1,T4J_bin_28,T4J_bin_12,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_16,T4J_bin_13,T4J_bin_37,T4J_bin_10,T4J_bin_3,T4J_bin_40,T4J_bin_39,T4J_bin_18,T4J_bin_35,T4J_bin_34,T4J_bin_36,T4J_bin_27,T4J_bin_38,T4J_bin_20,T4J_bin_5,T4J_bin_23,T4J_bin_25,T4C_bin_7,T4C_bin_28,T4C_bin_36,T4C_bin_10,T4C_bin_3,T4C_bin_29,T4C_bin_32,T4C_bin_31,T4C_bin_34,T4C_bin_26,T4C_bin_11,T4C_bin_14,T4C_bin_6,T4C_bin_20,T4C_bin_12,T4C_bin_22,T4C_bin_33,T4C_bin_23,T4C_bin_27,T4C_bin_15,T4C_bin_5,T4C_bin_8	0.9	40	0.5945945945945946	37
Hydroxyproline degradation, trans-4-hydroxy-L-proline => 2-oxoglutarate	8.257986632887762	0.004057310096188031	0.10051778335100887	Jelly	M00948	T4J_bin_32,T4J_bin_33,T4J_bin_4,T4J_bin_8,T4J_bin_13,T4J_bin_10,T4J_bin_18,T4J_bin_34	0.2	40	0	37
Proline degradation, proline => glutamate	8.059446196114312	0.0045267018077698555	0.10051778335100887	Jelly	M00970	T4J_bin_2,T4J_bin_30,T4J_bin_24,T4J_bin_17,T4J_bin_31,T4J_bin_14,T4J_bin_15,T4J_bin_32,T4J_bin_7,T4J_bin_11,T4J_bin_9,T4J_bin_1,T4J_bin_28,T4J_bin_21,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_16,T4J_bin_13,T4J_bin_10,T4J_bin_22,T4J_bin_26,T4J_bin_18,T4J_bin_35,T4J_bin_34,T4J_bin_36,T4J_bin_27,T4J_bin_5,T4J_bin_23,T4C_bin_7,T4C_bin_28,T4C_bin_3,T4C_bin_35,T4C_bin_24,T4C_bin_22,T4C_bin_33,T4C_bin_23,T4C_bin_18,T4C_bin_9,T4C_bin_1,T4C_bin_30,T4C_bin_13,T4C_bin_15,T4C_bin_5,T4C_bin_8	0.75	40	0.43243243243243246	37
Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	7.366187345943478	0.006646170014092645	0.12649858663299013	Jelly	M00579	T4J_bin_24,T4J_bin_31,T4J_bin_15,T4J_bin_28,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_16,T4J_bin_10,T4J_bin_18,T4J_bin_35,T4J_bin_34,T4J_bin_27,T4J_bin_25,T4C_bin_7,T4C_bin_36,T4C_bin_24,T4C_bin_33	0.375	40	0.10810810810810811	37
Cytochrome c oxidase, cbb3-type	6.6891892287970744	0.009699930940905158	0.16154403331208286	Jelly	M00156	T4J_bin_2,T4J_bin_30,T4J_bin_24,T4J_bin_17,T4J_bin_31,T4J_bin_19,T4J_bin_7,T4J_bin_11,T4J_bin_9,T4J_bin_1,T4J_bin_28,T4J_bin_12,T4J_bin_33,T4J_bin_8,T4J_bin_16,T4J_bin_13,T4J_bin_35,T4J_bin_34,T4J_bin_27,T4J_bin_5,T4C_bin_7,T4C_bin_28,T4C_bin_36,T4C_bin_3,T4C_bin_25,T4C_bin_23,T4C_bin_4,T4C_bin_8	0.5	40	0.21621621621621623	37
Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	6.278725448620083	0.01221959547138282	0.18089500956614596	Jelly	M00124	T4J_bin_31,T4J_bin_19,T4J_bin_15,T4J_bin_28,T4J_bin_12,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_10,T4J_bin_34,T4J_bin_27,T4J_bin_5,T4J_bin_23,T4C_bin_7,T4C_bin_20,T4C_bin_33,T4C_bin_23	0.35	40	0.10810810810810811	37
Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	5.7514994681806755	0.016474588944605295	0.18711129239041155	Jelly	M00950	T4J_bin_31,T4J_bin_15,T4J_bin_32,T4J_bin_1,T4J_bin_28,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_10,T4J_bin_18,T4J_bin_35,T4J_bin_27,T4J_bin_20,T4J_bin_5,T4C_bin_7,T4C_bin_28,T4C_bin_36,T4C_bin_24,T4C_bin_33	0.375	40	0.13513513513513514	37
Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	5.7514994681806755	0.016474588944605295	0.18711129239041155	Jelly	M00577	T4J_bin_31,T4J_bin_15,T4J_bin_32,T4J_bin_1,T4J_bin_28,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_10,T4J_bin_18,T4J_bin_35,T4J_bin_27,T4J_bin_20,T4J_bin_5,T4C_bin_7,T4C_bin_28,T4C_bin_36,T4C_bin_24,T4C_bin_33	0.375	40	0.13513513513513514	37
Leucine degradation, leucine => acetoacetate + acetyl-CoA	5.653179713554223	0.01742375043011022	0.18711129239041155	Jelly	M00036	T4J_bin_2,T4J_bin_30,T4J_bin_24,T4J_bin_17,T4J_bin_15,T4J_bin_7,T4J_bin_11,T4J_bin_9,T4J_bin_12,T4J_bin_21,T4J_bin_33,T4J_bin_6,T4J_bin_4,T4J_bin_8,T4J_bin_13,T4J_bin_22,T4J_bin_35,T4J_bin_34,T4J_bin_27,T4C_bin_7,T4C_bin_28,T4C_bin_36,T4C_bin_3,T4C_bin_32,T4C_bin_24,T4C_bin_12,T4C_bin_1	0.475	40	0.21621621621621623	37
Glycogen biosynthesis, glucose-1P => glycogen/starch	5.571312558334837	0.018257070149934614	0.18711129239041155	Jelly	M00854	T4J_bin_31,T4J_bin_33,T4J_bin_4,T4J_bin_8,T4J_bin_10,T4J_bin_27,T4J_bin_5,T4J_bin_23,T4C_bin_33	0.2	40	0.02702702702702703	37
