key	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	function	p_Control	N_Control	p_Jelly	N_Jelly
func_3ae841515850	7.805885506027707	0.0052076340659882574	0.44855071858510054	Control,Jelly	-	GT5.hmm	0.21621621621621623	37	0.525	40
func_bdebddbfc4e1	7.2881193697210245	0.006941209979208562	0.44855071858510054	Control,Jelly	-	GH74.hmm	0.2702702702702703	37	0.575	40
func_adca2248c92b	7.122511879083161	0.007612198052274564	0.44855071858510054	Jelly	-	PL7_5.hmm	0	37	0.175	40
func_d3d619ce6f0a	6.798202400500027	0.009124969969611858	0.44855071858510054	Control,Jelly	-	CBM9.hmm	0.13513513513513514	37	0.4	40
func_63f425e58587	6.686798402743907	0.009712948535579103	0.44855071858510054	Control,Jelly	-	GH13_11.hmm	0.05405405405405406	37	0.275	40
func_7763193cb4b2	6.416260787544857	0.01130800130886808	0.44855071858510054	Control,Jelly	-	AA2.hmm	0.7567567567567568	37	0.475	40
func_cfce15f33c32	5.872721538801725	0.01537726128271243	0.4602611200136182	Control,Jelly	-	GH13_9.hmm	0.08108108108108109	37	0.3	40
func_5628ea4c7045	5.862027585200508	0.015470962017264478	0.4602611200136182	Control,Jelly	-	GT19.hmm	0.7567567567567568	37	0.95	40
func_4c130ebef19f	4.587146515861627	0.03221260017239003	0.510435928158928	Control,Jelly	-	GH97.hmm	0.05405405405405406	37	0.225	40
func_a2aaa8984db1	4.587146515861627	0.03221260017239003	0.510435928158928	Control,Jelly	-	GT26.hmm	0.05405405405405406	37	0.225	40
func_a3457db7f4bb	4.561282615064259	0.03270257360951431	0.510435928158928	Control	-	GH13_31.hmm	0.10810810810810811	37	0	40
func_a541e1db798a	4.561282615064259	0.03270257360951431	0.510435928158928	Control	-	CE20.hmm	0.10810810810810811	37	0	40
func_b550e56a2fd6	4.520413513230261	0.03349273540731311	0.510435928158928	Control,Jelly	-	GH94.hmm	0.02702702702702703	37	0.175	40
func_b00f3898f260	4.461317571897924	0.03467074497417268	0.510435928158928	Control,Jelly	-	AA6.hmm	0.24324324324324328	37	0.475	40
func_76454885ea20	4.438877524025242	0.03512933681317415	0.510435928158928	Control,Jelly	-	CE1.hmm	0.6756756756756757	37	0.875	40
func_28d5b34ff329	4.38978079308791	0.03615496137254028	0.510435928158928	Control,Jelly	-	GH171.hmm	0.16216216216216217	37	0.375	40
func_282ef7ba77c8	4.375473035051982	0.036459709154209145	0.510435928158928	Control,Jelly	-	GH84.hmm	0.16216216216216217	37	0.025	40
func_d0768cdc8387	3.908294348005138	0.04804833881791509	0.5634355037306598	Control,Jelly	-	GT35.hmm	0.08108108108108109	37	0.25	40
func_a541153c3220	3.902742092576309	0.048207364732294984	0.5634355037306598	Jelly	-	GT105.hmm	0	37	0.1	40
func_f18758569551	3.7719194508320397	0.05211979062146864	0.5634355037306598	Control,Jelly	-	GT81.hmm	0.43243243243243246	37	0.225	40
func_8a78e41d06b0	3.7459518844534756	0.05293556804456053	0.5634355037306598	Control,Jelly	-	GT30.hmm	0.7297297297297297	37	0.9	40
func_2383b9203125	3.6229925897022115	0.05698628076051221	0.5634355037306598	Control,Jelly	-	GH31.hmm	0.05405405405405406	37	0.2	40
