key	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	function	p_Control	N_Control	p_Jelly	N_Jelly
func_92048dc5ccc9	18.111083287486494	2.083849507663005e-5	0.12238448158504829	Control,Jelly	MER1335389,MER1336845,MER1047954,MER1336220,MER0333872,MER1334610,MER1334890,MER1335831,MER1335571,MER1334005,MER1335912,MER1334778,MER1335669,MER1335160,MER1336623,MER1335709	subfamily_S26A_unassigned_peptidases_()_[S26.UPA]	0.5135135135135135	37	0.075	40
func_0009672abe9a	11.017547910608954	9.025338278831629e-4	0.4931282158537864	Control	MER1204627,MER0324062,MER0341573,MER1201854,MER0341379,MER1204430	family_M19_unassigned_peptidases_()_[M19.UPW]	0.24324324324324328	37	0	40
func_1eede942e98b	11.017547910608954	9.025338278831629e-4	0.4931282158537864	Control	MER0162785,MER0379170,MER0142067,MER0379520,MER0159747,MER0379486,MER0379760,MER0379609,MER0379052	oxamate_amidohydrolase_proenzyme_({Klebsiella_pneumonia})_()_[T03.025]	0.24324324324324328	37	0	40
func_99c58bb504c7	10.832895581388247	9.971258078302233e-4	0.4931282158537864	Control,Jelly	MER0300941,MER1068566,MER1070094,MER0217459,MER0300151,MER0086267,MER0170403,MER0301335,MER1068430,MER1356200	subfamily_S49B_unassigned_peptidases_()_[S49.UPB]	0.2972972972972973	37	0.025	40
func_33ebb7e3c686	10.630618514617032	0.0011123050615375986	0.4931282158537864	Jelly	MER0024862	HslU_component_of_HslVU_peptidase_(Leishmania_infantum)_[X20.005]	0	37	0.25	40
func_a082633e4768	9.651441240001017	0.001892030800907826	0.4931282158537864	Control	MER0203001	family_S9_unassigned_peptidases_(Puniceispirillum_marinum)_[S09.UPW]	0.21621621621621623	37	0	40
func_b527414af459	9.651441240001017	0.001892030800907826	0.4931282158537864	Control	MER0475146,MER0474318	DNA_repair_protein_RadA_({Escherichia_coli})_()_[S16.A04]	0.21621621621621623	37	0	40
func_60e0586770d2	9.645557614972454	0.001898100684034581	0.4931282158537864	Control,Jelly	MER0339997,MER0929362,MER0340679,MER0930576,MER0086285,MER0140572,MER0929908,MER0289531,MER0319685,MER0340431	family_M17_unassigned_peptidases_()_[M17.UPW]	0.40540540540540543	37	0.1	40
func_d2eefff18b01	9.442906442047125	0.0021196731828705033	0.4931282158537864	Control,Jelly	MER0203035,MER0202960,MER0202969,MER0203036,MER0203013,MER0203048	family_S33_unassigned_peptidases_(Puniceispirillum_marinum)_[S33.UPW]	0.2702702702702703	37	0.025	40
func_f5c8e48c6692	8.91736221882174	0.002824722034390864	0.4931282158537864	Control,Jelly	MER0890918,MER0144459,MER0893957,MER0891460,MER0896667,MER0897096,MER0898016	subfamily_M50B_unassigned_peptidases_()_[M50.UPB]	0.35135135135135137	37	0.075	40
func_31e73d6f2a9c	8.579218128278455	0.0034002134411905004	0.4931282158537864	Control,Jelly	MER0187397	family_I39_unassigned_peptidase_inhibitors_(Sulfurospirillum_deleyianum)_[I39.UPW]	0.16216216216216217	37	0.475	40
