Experiment	Treatment	Bottle	Time(hours)	Abundance Microscope (cells mL-1)	Abundance FCM cells mL-1	Abundance Syn FCM cells mL-1	Bacterial production ug C L-1 h-1	DOC(umol L-1)	TDN (umol L-1)	NH4+(umol L-1)	NO2- (umol L-1)	NO3- (umol L-1)	DIN (umol L-1)	DON (umol L-1)	TDHAA (umol L-1)	DCAA (umol L-1)	DFAA (umol L-1)	PO43-(umol L-1)	chl a (ug L-1)	PP (ug C L-1 h-1)	Abundance PicoEukaryotes cells ml-1	Abundance phototrophic nanoeukaryotes cells ml-1
A	C	C1	0	107795,8069	129077,5714	364,185006	0,018726035	140,8333333	23,9	2,507	0,013	0,323046	2,843046	21,056954	813,1398273	758,4958861	106,1430887	0,021				
A	C	C2	0	388771,7625	99734,66521	218,5110036	0,015946135	131,0833333	16,74285714	1,151	0,019	0,16506	1,33506	15,40779714	2690,806173	2635,957784	59,57313662					
A	C	C3	0	339291,72	113391,6029	148,2753239	0,018781726	131	24,10714286	2,1	0,011	0,245232	2,356232	21,75091086	1583,408675	1532,567997	62,12060823	0,019				
A	J	J1	0	126350,8228	153035,7422	288,7466833	0,007736382	140,6666667	26,69285714	1,733	0,009	0,287676	2,029676	24,66318114	2410,40288	1192,330469	1351,047408	0,147				
A	J	J2	0	484197,5588	118073,9816	234,1189324	0,009397824	137,0833333	22,47142857	1,317	0,007	0,198072	1,522072	20,94935657			1182,564047	0,11				
A	J	J3	0	374634,6075	126970,501	210,7070392	0,008882684	149,5	27,82857143	2,382	0,017	0,299466	2,698466	25,13010543	2383,127499	1155,714484	1317,901882	0,151				
A	C	C1	9	133419,4003	138832,5269	202,9030748	0,041601036	142,5833333	20,07857143	1,321	0,021	0,190998	1,532998	18,54557343	752,738664	709,3253954	76,30910224	0,02				
A	C	C2	9	108679,3791	116981,4266	312,1585766	0,058136566	129,6666667	17,3	1,064	0,008	0,15327	1,22527	16,07473	1415,513094	1319,979795	100,2061372	0,03				
A	C	C3	9	115747,9566	129545,8093	140,4713595	0,049230677	127,9166667	18,92857143	1,131	0,012	0,175671	1,318671	17,60990043	1471,494523	1437,383468	42,83375793	0,022				
A	J	J1	9	165227,9991	168253,4728	202,9030748	0,062034922	152,9166667	35,09285714	1,438	0,017	0,175671	1,630671	33,46218614	2754,278566	1732,833917	1400,447551	0,178				
A	J	J2	9	119282,2453	133759,9501	148,2753239	0,03719218	144,8333333	31,39285714	1,158	0,012	0,15327	1,32327	30,06958714	2802,546707	2095,760949	1523,613858	0,167				
A	J	J3	9	124583,6784	140159,2009	265,3347901	0,038389532	147,5	33,4	1,444	0,021	0,143838	1,608838	31,791162	2679,164386	1434,792484	1333,806866	0,181				
A	C	C1	24	219125,9025	3426564,695	257,5308257	0,391037669	143,3333333	40,19285714	1,004	0,015	0,178029	1,197029	38,99582814			139,4096357	0,005				
A	C	C2	24	140487,9778	1751599,813	280,9427189	0,811939535	137,1666667	28,10714286	0,87	0,01	0,12969	1,00969	27,09745286	1357,530832	1295,313255	66,32951686	0,017				
A	C	C3	24	113097,24	1634618,386	202,9030748	0,403540256	138,8333333	27,42142857	0,863	0,009	0,160344	1,032344	26,38908457	1388,83905	1338,509152	55,0845903	0,014				
A	J	J1	24	4162606,75	277274,8556	249,7268612	10,372265	141,5833333	20,95714286	3,175	0,016	0,182745	3,373745	17,58339786	3971,487579	3496,573536	805,3442476	0,045				
A	J	J2	24	1678787,156	261901,0457	234,1189324	21,37530929	121	17,50714286	0,487	0,008	0,146196	0,641196	16,86594686	2847,965141	2075,983399	962,9730471	0,052				
A	J	J3	24	1452985,375	218432,9639	171,6872171	20,42326513	127,5833333	20,62857143	0,685	0,013	0,142659	0,840659	19,78791243	1967,839917	1218,629539	993,0427125	0,079				
A	C	C1	43	222660,1913	6002419,229	179,4911815	0,3297917	138,3333333	20,49285714	0,814	0,007	0,183924	1,004924	19,48793314	813,021913	769,1231968	84,89726831	0,015				
A	C	C2	43	353428,875	6085921,648	202,9030748	0,687317423	117,6666667	15,13571429	0,452	0,007	0,124974	0,583974	14,55174029	1700,739888	1639,996829	63,5158328	0,013				
A	C	C3	43	222660,1913	6469408,459	210,7070392	0,258646689	133	22,54285714	0,743	0,009	0,185103	0,937103	21,60575414	1773,024826	1735,500377	48,71235243	0,016				
A	J	J1	43	4241146,5	415092,8672	179,4911815	10,92982284	135,3333333	43,57142857	6,696	0,01	0,190998	6,896998	36,67443057	3100,993853	2956,848368	654,3356617	0,072				
A	J	J2	43	5203258,438	859372,5613	312,1585766	11,4627839	133,4166667	35,05714286	4,316	0,009	0,218115	4,543115	30,51402786	3455,233258	3352,109973	526,8774854	0,022				
A	J	J3	43	5281798,188	345403,465	148,2753239	12,76441737	135,25	37,22142857	4,516	0,01	0,132048	4,658048	32,56338057			392,5040212	0,048				
A	C	C1	67	213824,4694	7220227,876	187,2951459	0,191613516	136,6666667	19,75	0,726	0,013	0,206325	0,945325	18,804675			113,7991533	0,012				
