file	percent	reads	taxon_id	taxon_name
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	22.977732	8729394	54526	Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	4.709785	1789279	204455	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	4.499150	1709257	200644	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	4.209068	1599053	1706369	Bacteria;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	2.080587	790429	204441	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	1.910217	725704	135619	Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	1.489900	566023	356	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.663979	252250	135622	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.425452	161632	85006	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.362294	137638	1890424	Bacteria;Cyanobacteriota;Cyanophyceae;Synechococcales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.235979	89650	766	Bacteria;Pseudomonadota;Alphaproteobacteria;Rickettsiales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.222726	84615	32003	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.218688	83081	135613	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.186883	70998	80840	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.178523	67822	1853224	Bacteria;Rhodothermota;Rhodothermia;Rhodothermales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.154501	58696	204457	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.137679	52305	84993	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.127858	48574	768507	Bacteria;Bacteroidota;Cytophagia;Cytophagales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.080428	30555	13792	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.080391	30541	135623	Bacteria;Pseudomonadota;Gammaproteobacteria;Vibrionales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.071462	27149	1853223	Bacteria;Balneolota;Balneolia;Balneolales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.066272	25177	1389450	Bacteria;Actinomycetota;Actinomycetes;Candidatus Actinomarinales;NA;NA;NA;
/lisc/scratch/oceanography/efadeev/Microcosm_Piran/MicPir_sep/07_TAXONOMY/A01_T0_nr_euk_tax.out	0.065835	25011	72274	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;NA;NA;NA;
