group	db_name	bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
T3J	T3J_bin_10	bin_10	1587136	236	7939	53.8914539652029	50.70422535211268	5.633802816901408	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Litoricolaceae	Litoricola	Litoricola sp012269655
T3J	T3J_bin_11	bin_11	1210943	269	4584	53.316643424854796	74.64788732394366	1.408450704225352	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	Puniceispirillaceae	UBA3439	UBA3439 sp016780525
T3J	T3J_bin_12	bin_12	1862200	384	5272	55.56500448322678	64.78873239436619	2.816901408450704	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marivivens	
T3J	T3J_bin_13	bin_13	3941740	635	6748	55.891829487053954	43.66197183098591	5.633802816901408	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
T3J	T3J_bin_14	bin_14	2545397	433	6448	57.485273951623675	56.33802816901409	14.084507042253522	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassobacter	Thalassobacter stenotrophicus
T3J	T3J_bin_15	bin_15	2066006	189	14820	32.046951050683475	90.14084507042253	2.816901408450704	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	
T3J	T3J_bin_16	bin_16	2699456	362	9134	35.6650395073354	53.521126760563384	4.225352112676056	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Lishizhenia	Lishizhenia tianjinensis
T3J	T3J_bin_17	bin_17	2304880	331	8424	48.63022709110425	63.38028169014085	2.816901408450704	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	
T3J	T3J_bin_18	bin_18	4077310	409	14002	44.443181080976856	54.929577464788736	8.450704225352112	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Vibrionaceae	Vibrio	
T3J	T3J_bin_2	bin_2	1810208	386	4866	54.01134806611165	73.2394366197183	5.633802816901408	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
T3J	T3J_bin_3	bin_3	6052243	387	20011	44.05117141742304	53.521126760563384	8.450704225352112	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Vibrionaceae	Vibrio	
T3J	T3J_bin_4	bin_4	3392396	195	27056	44.42509154818443	74.64788732394366	4.225352112676056	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	DSM-6294	Bermanella	Bermanella sp002683575
T3J	T3J_bin_5	bin_5	3536177	659	5840	41.19314944123851	43.66197183098591	7.042253521126761	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Alteromonadaceae	Pseudoalteromonas	
T3J	T3J_bin_6	bin_6	3473720	355	12367	47.55369744810485	54.929577464788736	8.450704225352112	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	DSM-6294	Oleispira	
T3J	T3J_bin_7	bin_7	2527656	274	11213	57.31916406767566	67.6056338028169	4.225352112676056	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
T3J	T3J_bin_8	bin_8	3517743	250	19923	40.156554842695726	64.78873239436619	9.859154929577464	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Alteromonadaceae	LPB0316	LPB0316 sp014898095
T3J	T3J_bin_9	bin_9	2694425	435	7258	44.61651709553529	54.929577464788736	4.225352112676056	Bacteria						
T4J	T4J_bin_1	bin_1	1865668	158	15623	54.05784115035311	90.14084507042253	4.225352112676056	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Litoricolaceae	Litoricola	Litoricola sp012269655
T4J	T4J_bin_10	bin_10	3879245	340	16274	42.02075701865958	53.521126760563384	4.225352112676056	Bacteria	Pseudomonadota	Gammaproteobacteria				
T4J	T4J_bin_11	bin_11	3158786	280	18250	34.15475936439021	92.95774647887323	0.0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Brumimicrobium	Brumimicrobium aurantiacum
T4J	T4J_bin_12	bin_12	3246284	308	13294	44.41040237640816	69.01408450704226	1.408450704225352	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales			
T4J	T4J_bin_13	bin_13	4315058	532	10438	56.37605312760749	66.19718309859155	15.492957746478874	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Vibrionaceae	Vibrio	
T4J	T4J_bin_14	bin_14	2317649	127	31789	31.692563806469366	92.95774647887323	2.816901408450704	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	
T4J	T4J_bin_15	bin_15	3478917	280	17667	47.703018901354255	54.929577464788736	5.633802816901408	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	DSM-6294	Oleispira	
T4J	T4J_bin_16	bin_16	2695515	300	11344	39.01945940404147	87.32394366197182	2.816901408450704	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Salibacteraceae	CAJXZP01	CAJXZP01 sp024398135
T4J	T4J_bin_17	bin_17	2687329	127	32969	57.78692311862823	61.971830985915496	2.816901408450704	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
T4J	T4J_bin_18	bin_18	3782203	673	6488	39.98760837064657	35.2112676056338	4.225352112676056	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Alteromonadaceae	Thalassotalea_C	Thalassotalea_C marina
T4J	T4J_bin_19	bin_19	1785686	175	13757	50.48069362401919	69.01408450704226	2.816901408450704	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Litoricolaceae	HIMB30	HIMB30 sp002691485
T4J	T4J_bin_2	bin_2	2525707	145	26373	46.931451075006	97.1830985915493	0.0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	Phaeocystidibacter	Phaeocystidibacter sp013373425
T4J	T4J_bin_20	bin_20	3464266	624	6119	49.28892010805467	30.985915492957748	4.225352112676056	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	JAILYN01	JAILYN01 sp019795155
T4J	T4J_bin_21	bin_21	2605556	308	10418	56.23855924857318	80.28169014084507	5.633802816901408	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marivivens	
T4J	T4J_bin_22	bin_22	2255530	208	14469	48.663562153285724	39.436619718309856	2.816901408450704	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	
T4J	T4J_bin_23	bin_23	1860007	330	6093	52.72293490795666	60.563380281690144	9.859154929577464	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Marinobacterium	Marinobacterium sp024640955
T4J	T4J_bin_24	bin_24	3759193	141	42749	36.66598844112832	87.32394366197182	5.633802816901408	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales			
T4J	T4J_bin_25	bin_25	2298614	455	5417	41.7639428194046	45.070422535211264	2.816901408450704	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Salibacteraceae	CAJXZP01	CAJXZP01 sp024398135
T4J	T4J_bin_26	bin_26	2185393	262	10262	54.087718078125526	91.54929577464789	2.816901408450704	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
T4J	T4J_bin_27	bin_27	4468038	537	10372	42.26649294648438	49.29577464788732	5.633802816901408	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Alteromonadaceae	Thalassotalea	Thalassotalea sp022448425
T4J	T4J_bin_28	bin_28	4891406	350	18488	44.19501782924894	81.69014084507042	15.492957746478874	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Vibrionaceae	Vibrio	
T4J	T4J_bin_29	bin_29	1406148	245	6684	53.66986328859022	81.69014084507042	0.0	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	Puniceispirillaceae	UBA3439	UBA3439 sp016780525
T4J	T4J_bin_3	bin_3	3095013	186	26701	36.40211207157316	40.84507042253521	0.0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Lishizhenia	Lishizhenia tianjinensis
T4J	T4J_bin_30	bin_30	3008106	109	40660	57.889607299027155	97.1830985915493	7.042253521126761	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassobacter	Thalassobacter stenotrophicus
T4J	T4J_bin_31	bin_31	6263645	155	59147	43.97880265629655	69.01408450704226	0.0	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Vibrionaceae	Vibrio	
T4J	T4J_bin_32	bin_32	5022660	349	18499	37.83827629489884	69.01408450704226	8.450704225352112	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	Crocinitomix algicola
T4J	T4J_bin_33	bin_33	3439012	168	31231	39.942388616163505	76.05633802816901	9.859154929577464	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Alteromonadaceae	LPB0316	LPB0316 sp014898095
T4J	T4J_bin_34	bin_34	3273459	387	10483	44.135553737819826	52.11267605633803	9.859154929577464	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Alteromonadaceae	Pseudoalteromonas	
T4J	T4J_bin_35	bin_35	2280025	367	7055	42.89092427502348	59.15492957746479	5.633802816901408	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Alteromonadaceae	Psychrosphaera	Psychrosphaera ytuae
