"COG20_FUNCTION_accession" "COG20_FUNCTION_function." "COG20_CATEGORY_accession" "COG20_CATEGORY_function."
"1" "COG4995" "Uncharacterized conserved protein, contains CHAT domain (PUBMED:11835511)" "S" "Function unknown"
"2" "COG0124" "Histidyl-tRNA synthetase (HisS) (PDB:1KMM)" "J" "Translation, ribosomal structure and biogenesis"
"3" "COG1595" "DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z)" "K" "Transcription"
"4" "COG1819" "UDP:flavonoid glycosyltransferase YjiC, YdhE family (YjiC) (PDB:2ACV) (PUBMED:23974133)" "G" "Carbohydrate transport and metabolism"
"5" "COG0662" "Mannose-6-phosphate isomerase, cupin superfamily (ManC) (PDB:1IPJ)" "G" "Carbohydrate transport and metabolism"
"6" "COG1017" "Hemoglobin-like flavoprotein (Hmp) (PDB:3OZU)" "C" "Energy production and conversion"
"7" "COG0642" "Signal transduction histidine kinase (BaeS) (PDB:1JOY)" "T" "Signal transduction mechanisms"
"8" "COG1797" "Cobyrinic acid a,c-diamide synthase (CobB)" "H" "Coenzyme transport and metabolism"
"9" "COG0397" "Protein adenylyltransferase (AMPylase) SelO/YdiU (selenoprotein O) (SelO) (PDB:6EAC) (PUBMED:30270044)" "O" "Posttranslational modification, protein turnover, chaperones"
"10" "COG0086" "DNA-directed RNA polymerase, beta' subunit/160 kD subunit (RpoC) (PDB:1NT9)" "K" "Transcription"
"11" "COG2114" "Adenylate cyclase, class 3 (AcyC) (PDB:1AB8)" "T" "Signal transduction mechanisms"
"12" "COG0208" "Ribonucleotide reductase beta subunit, ferritin-like domain (NrdB) (PDB:1AV8)" "F" "Nucleotide transport and metabolism"
"13" "COG1442" "Lipopolysaccharide biosynthesis protein, LPS:glycosyltransferase (RfaJ) (PDB:1G9R)" "M" "Cell wall/membrane/envelope biogenesis"
"14" "COG3220" "Uncharacterized conserved protein, UPF0276 family (PDB:3BWW)" "S" "Function unknown"
"15" "COG0379" "Quinolinate synthase (NadA) (PDB:4HHE) (PUBMED:24498065)" "H" "Coenzyme transport and metabolism"
"16" "COG0632" "Holliday junction resolvasome RuvABC DNA-binding subunit (RuvA) (PDB:1BDX)" "L" "Replication, recombination and repair"
"17" "COG0817" "Holliday junction resolvasome RuvABC endonuclease subunit RuvC (RuvC) (PDB:1HJR)" "L" "Replication, recombination and repair"
"18" "COG3696" "Cu/Ag efflux pump CusA (CusA) (PDB:3K07)" "P" "Inorganic ion transport and metabolism"
"19" "COG2217" "Cation-transporting P-type ATPase (ZntA) (PDB:4BBJ)" "P" "Inorganic ion transport and metabolism"
"20" "COG5010" "Flp pilus assembly protein TadD, contains TPR repeats (TadD) (PDB:3WXX)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"21" "COG3651" "Uncharacterized conserved protein, DUF2237 family (PDB:2LQ3)" "S" "Function unknown"
"22" "COG0535" "Radical SAM superfamily maturase, SkfB/NifB/PqqE family (SkfB) (PDB:6Q2P) (PUBMED:23282011)" "D" "Cell cycle control, cell division, chromosome partitioning"
"23" "COG3882" "Predicted enzyme involved in methoxymalonyl-ACP biosynthesis (FkbH)" "I" "Lipid transport and metabolism"
"24" "COG0353" "Recombinational DNA repair protein RecR (RecR) (PDB:2JGR) (PUBMED:26337406)" "L" "Replication, recombination and repair"
"25" "COG0591" "Na+/proline symporter (PutP) (PDB:5NVA)" "E" "Amino acid transport and metabolism"
"26" "COG0635" "Coproporphyrinogen-III oxidase HemN  (oxygen-independent) or related Fe-S oxidoreductase (HemN) (PDB:1OLT)" "H" "Coenzyme transport and metabolism"
"27" "COG1154" "Deoxyxylulose-5-phosphate synthase (Dxs) (PDB:2O1S)" "H" "Coenzyme transport and metabolism"
"28" "COG0142" "Geranylgeranyl pyrophosphate synthase (IspA) (PDB:2AZJ)" "H" "Coenzyme transport and metabolism"
"29" "COG1722" "Exonuclease VII small subunit (XseB) (PDB:1VP7)" "L" "Replication, recombination and repair"
"30" "COG1396" "Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)" "K" "Transcription"
"31" "COG0673" "Predicted dehydrogenase (MviM) (PDB:3UUW)" "R" "General function prediction only"
"32" "COG0707" "UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase (MurG) (PDB:1F0K)" "M" "Cell wall/membrane/envelope biogenesis"
"33" "COG0666" "Ankyrin repeat (ANKYR) (PDB:6AUN)" "T" "Signal transduction mechanisms"
"34" "COG1161" "Ribosome biogenesis GTPase RbgA (RbgA) (PDB:6G14)" "J" "Translation, ribosomal structure and biogenesis"
"35" "COG2124" "Cytochrome P450 (CypX) (PDB:3A4Z)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"36" "COG3119" "Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)" "P" "Inorganic ion transport and metabolism"
"37" "COG0304" "3-oxoacyl-(acyl-carrier-protein) synthase (FabB) (PDB:2UV8) (PUBMED:21652641)" "I" "Lipid transport and metabolism"
"38" "COG3794" "Plastocyanin (PetE) (PDB:3BQV)" "C" "Energy production and conversion"
"39" "COG2308" "Circularly permuted ATP-grasp protein (PDB:3N6X) (PUBMED:20023723)" "R" "General function prediction only"
"40" "COG2307" "Uncharacterized conserved protein, Alpha-E superfamily (Alpha-E) (PUBMED:20023723)" "S" "Function unknown"
"41" "COG1470" "Uncharacterized membrane protein (PDB:1EUT)" "S" "Function unknown"
"42" "COG1007" "NADH:ubiquinone oxidoreductase subunit 2 (chain N) (NuoN) (PDB:4HE8)" "C" "Energy production and conversion"
"43" "COG3531" "Predicted protein-disulfide isomerase, contains CxxC motif (PDB:5HFG) (PUBMED:24314029)" "O" "Posttranslational modification, protein turnover, chaperones"
"44" "COG1600" "Epoxyqueuosine reductase QueG (queuosine biosynthesis) (QueG) (PDB:5D08) (PUBMED:2150253)" "J" "Translation, ribosomal structure and biogenesis"
"45" "COG0042" "tRNA-dihydrouridine synthase (DusA) (PDB:1VHN)" "J" "Translation, ribosomal structure and biogenesis"
"46" "COG3419" "Type IV pilus assembly protein, tip-associated adhesin PilY1 (PilY1) (PDB:3HX6)" "N" "Cell motility"
"47" "COG4726" "Type IV pilus assembly protein PilX (PilX)" "N" "Cell motility"
"48" "COG4966" "Type IV pilus assembly protein PilW (PilW)" "N" "Cell motility"
"49" "COG4967" "Type IV pilus assembly protein PilV (PilV)" "N" "Cell motility"
"50" "COG0385" "Predicted Na+-dependent transporter YfeH (YfeH) (PDB:4N7X) (PUBMED:21175741)" "R" "General function prediction only"
"51" "COG0761" "4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH (IspH) (PDB:3DNF)" "I" "Lipid transport and metabolism"
"52" "COG0566" "tRNA G18 (ribose-2'-O)-methylase SpoU (SpoU) (PDB:1GZ0)" "J" "Translation, ribosomal structure and biogenesis"
"53" "COG0258" "5'-3' exonuclease Xni/ExoIX (flap endonuclease) (ExoIX) (PDB:3ZDA) (PUBMED:19000038;23821668)" "L" "Replication, recombination and repair"
"54" "COG1525" "Endonuclease YncB, thermonuclease family (YncB)" "L" "Replication, recombination and repair"
"55" "COG1960" "Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)" "I" "Lipid transport and metabolism"
"56" "COG4124" "Beta-mannanase (ManB2) (PDB:1GVY)" "G" "Carbohydrate transport and metabolism"
"57" "COG5285" "Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family (PhyH) (PDB:2A1X)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"58" "COG0841" "Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)" "V" "Defense mechanisms"
"59" "COG3209" "Uncharacterized conserved protein RhaS, contains 28 RHS repeats (RhsA) (PDB:4IGL)" "R" "General function prediction only"
"60" "COG0173" "Aspartyl-tRNA synthetase (AspS) (PDB:1C0A)" "J" "Translation, ribosomal structure and biogenesis"
"61" "COG1091" "dTDP-4-dehydrorhamnose reductase (RfbD) (PDB:1KBZ)" "M" "Cell wall/membrane/envelope biogenesis"
"62" "COG0653" "Preprotein translocase subunit SecA (ATPase, RNA helicase) (SecA) (PDB:2FSF)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"63" "COG5319" "Uncharacterized conserved protein, DUF1178 domain" "S" "Function unknown"
"64" "COG0436" "Aspartate/methionine/tyrosine aminotransferase (AspB) (PDB:2O0R)" "E" "Amino acid transport and metabolism"
"65" "COG1028" "NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)" "I" "Lipid transport and metabolism"
"66" "COG2911" "Autotransporter translocation and assembly protein TamB (TamB) (PDB:5VTG)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"67" "COG0729" "Outer membrane translocation and assembly module TamA (TamA) (PDB:4BZA)" "M" "Cell wall/membrane/envelope biogenesis"
"68" "COG2226" "Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)" "H" "Coenzyme transport and metabolism"
"69" "COG0241" "Histidinol phosphatase/D-glycero-mannoheptose bisphosphatephosphatase, HAD superfamily (HisB1/GmhB) (PDB:2GMW) (PUBMED:20050615;20050614)" "E" "Amino acid transport and metabolism"
"70" "COG5421" "Transposase" "X" "Mobilome: prophages, transposons"
"71" "COG1835" "Peptidoglycan/LPS O-acetylase OafA/YrhL, contains acyltransferase and SGNH-hydrolase domains (OafA)" "M" "Cell wall/membrane/envelope biogenesis"
"72" "COG0443" "Molecular chaperone DnaK (HSP70) (DnaK) (PDB:3I33)" "O" "Posttranslational modification, protein turnover, chaperones"
"73" "COG0470" "DNA polymerase III, delta prime subunit (HolB) (PDB:1A5T)" "L" "Replication, recombination and repair"
"74" "COG1940" "Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain (NagC) (PDB:1WOQ)" "G" "Carbohydrate transport and metabolism"
"75" "COG2239" "Mg/Co/Ni transporter MgtE (contains CBS domain) (MgtE) (PDB:2YVX)" "P" "Inorganic ion transport and metabolism"
"76" "COG0652" "Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family (PpiB) (PDB:4DGD)" "O" "Posttranslational modification, protein turnover, chaperones"
"77" "COG0054" "6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain) (RibE) (PDB:1C2Y)" "H" "Coenzyme transport and metabolism"
"78" "COG0108" "3,4-dihydroxy-2-butanone 4-phosphate synthase (RibB) (PDB:1G57)" "H" "Coenzyme transport and metabolism"
"79" "COG0567" "2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes (SucA) (PDB:2JGD)" "C" "Energy production and conversion"
"80" "COG0508" "Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component (AceF) (PDB:1B5S)" "C" "Energy production and conversion"
"81" "COG3299" "Uncharacterized phage protein gp47/JayE (JayE)" "X" "Mobilome: prophages, transposons"
"82" "COG3391" "DNA-binding beta-propeller fold protein YncE (YncE) (PDB:3VGZ) (PUBMED:22120742;28628661)" "R" "General function prediction only"
"83" "COG0834" "ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)" "E" "Amino acid transport and metabolism"
"84" "COG1395" "Predicted transcriptional regulator" "K" "Transcription"
